City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Popondetta,100,PG,1584203881,93,-8.75,148.25,295.14,1.81
Gigmoto,67,PH,1584203881,69,13.78,124.39,299.84,4.05
Yashan,83,CN,1584203881,62,22.2,109.94,294.24,1.78
Camocim,75,BR,1584203881,94,-2.9,-40.84,300.15,3.6
Faya,100,SA,1584203881,82,18.39,42.45,290.15,5.1
Asha,100,RU,1584203881,96,55,57.27,273.04,2.2
Itoman,75,JP,1584203630,58,26.12,127.67,288.15,8.7
Eirunepé,100,BR,1584203882,62,-6.66,-69.87,304.54,0.72
Beloha,60,MG,1584203882,79,-25.17,45.05,296.74,8.11
Skjervøy,100,NO,1584203882,63,70.03,20.97,268.94,9.46
Mossamedes,20,AO,1584203882,74,-15.2,12.15,300.15,8.2
Airai,75,TL,1584203882,85,-8.93,125.41,291.94,1.23
Shimoda,84,JP,1584203882,93,34.67,138.95,278.15,1.83
Bowling Green,90,US,1584203882,65,36.99,-86.44,283.15,4.1
Ploemeur,90,FR,1584203883,76,47.73,-3.43,284.82,4.6
Inírida,100,CO,1584203883,83,3.87,-67.92,300.14,0.73
Revelstoke,1,CA,1584203664,37,50.98,-118.2,267.15,12.3
Tambovka,40,RU,1584203883,66,50.1,128.05,263.15,7
Kumul,87,CN,1584203883,31,42.8,93.45,275.74,1.3
Paraná,100,AR,1584203883,30,-31.73,-60.52,310.64,0.29
Nuuk,75,GL,1584203883,55,64.18,-51.72,261.15,4.1
Carutapera,100,BR,1584203884,80,-1.2,-46.02,300.44,4.78
Najrān,40,SA,1584203643,27,17.49,44.13,304.15,4.1
Balarāmpur,100,IN,1584203884,76,23.12,86.22,293.04,1.59
Halberstadt,66,DE,1584203884,61,51.9,11.05,283.15,4.1
Nioro,0,GM,1584203884,7,13.35,-15.75,311.94,4.62
Lang Son,99,VN,1584203884,76,21.83,106.73,289.94,1.32
Palmer,40,US,1584203884,42,42.16,-72.33,283.71,8.2
Alta Floresta,75,BR,1584203884,70,-9.88,-56.09,303.15,2.6
Kulhudhuffushi,1,MV,1584203885,76,6.62,73.07,302.04,3.91
Sabha,13,LY,1584203885,17,27.04,14.43,293.14,3.21
Ak-Dovurak,20,RU,1584203885,76,51.18,90.6,261.14,0.41
Rocha,35,UY,1584203885,44,-34.48,-54.33,305.14,5.6
Capinota,20,BO,1584203885,36,-17.72,-66.23,298.15,1.5
Westport,1,US,1584203643,31,41.14,-73.36,284.26,4.1
Leningradskiy,0,RU,1584203886,74,69.38,178.42,249.24,2.16
Gdynia,0,PL,1584203619,51,54.52,18.53,275.37,4.6
Lakatoro,75,VU,1584203886,94,-16.1,167.42,299.15,3.6
Prieska,0,ZA,1584203886,18,-29.66,22.75,299.54,4.83
Hithadhoo,21,MV,1584203886,61,-0.6,73.08,301.74,1.16
Port Blair,15,IN,1584203886,68,11.67,92.75,301.24,2.89
Yekaterinoslavka,100,RU,1584203886,92,50.37,129.11,259.44,5.62
Øksfjord,100,NO,1584203886,52,70.24,22.35,267.15,10.8
Moramanga,76,MG,1584203887,97,-18.93,48.2,290.04,1.74
Gao,1,ML,1584203887,9,16.64,1.64,304.34,3.14
Hillsborough,90,US,1584203887,87,37.57,-122.38,286.48,5.7
Chone,79,EC,1584203887,85,-0.68,-80.1,298.74,1.45
Maceió,40,BR,1584203887,62,-9.67,-35.74,303.15,4.6
Antofagasta,20,CL,1584203789,68,-23.65,-70.4,295.37,6.7
Bengkulu,100,ID,1584203887,90,-3.8,102.27,297.14,1.7
Ponta do Sol,75,PT,1584203887,59,32.67,-17.1,290.15,6.2
Puqi,0,CN,1584203888,59,29.72,113.88,283.24,0.87
Menongue,74,AO,1584203598,95,-14.66,17.69,292.04,2.05
Millinocket,90,US,1584203888,51,45.66,-68.71,279.26,9.3
Gornopravdinsk,96,RU,1584203888,87,60.05,69.9,274.54,5.72
Hutchinson,90,US,1584203636,93,38.06,-97.93,277.15,4.1
Orzinuovi,75,IT,1584203888,57,45.4,9.92,284.82,1.5
Alihe,42,CN,1584203654,89,50.57,123.72,252.04,1.98
Homburg,20,DE,1584203888,77,49.32,7.33,284.82,3.1
Avera,1,US,1584203889,46,33.19,-82.53,299.26,2.6
Baoqing,79,CN,1584203889,90,46.33,132.21,261.04,0.99
Philadelphia,1,US,1584203695,29,39.95,-75.16,285.93,4.1
Sørland,100,NO,1584203889,91,67.67,12.69,276.84,24.02
Kotapārh,72,IN,1584203889,47,19.15,82.35,298.04,2.43
Antanifotsy,59,MG,1584203889,87,-19.65,47.32,290.54,2.59
Chimbote,66,PE,1584203889,53,-9.09,-78.58,301.84,5.34
Whitehorse,20,CA,1584203646,83,60.72,-135.05,252.04,0.85
Malabo,75,GQ,1584203890,74,3.75,8.78,303.15,3.6
Pokaran,0,IN,1584203691,30,26.92,71.92,294.14,2.48
San Vicente de Cañete,100,PE,1584203890,76,-13.08,-76.38,297.24,3.85
Quatre Cocos,40,MU,1584203890,83,-20.21,57.76,299.15,1.5
Koygorodok,83,RU,1584203890,91,60.45,51,267.94,2.6
Tanete,100,ID,1584203890,90,-3.94,119.78,297.24,1.24
Mareeba,44,AU,1584203890,83,-17,145.43,296.15,1.21
Gejiu,53,CN,1584203890,93,23.31,103.16,286.54,1.31
Khilok,52,RU,1584203891,99,51.37,110.47,265.04,0.94
Qasigiannguit,90,GL,1584203891,77,68.82,-51.19,258.15,5.7
Huarmey,84,PE,1584203891,48,-10.07,-78.15,302.54,5.92
Cabedelo,40,BR,1584203759,62,-6.98,-34.83,304.15,5.7
Gelgaudiškis,53,LT,1584203891,67,55.08,22.98,271.54,4.86
Tamandaré,94,BR,1584203891,66,-8.76,-35.1,301.84,4.22
Messina,40,IT,1584203803,77,38.19,15.55,290.37,2.6
Esperance,75,AU,1584203891,93,-33.87,121.9,291.15,5.7
Zeya,0,RU,1584203892,86,53.75,127.27,251.34,2.55
Shingū,17,JP,1584203892,68,33.73,135.98,280.74,5.5
Carndonagh,99,IE,1584203892,89,55.25,-7.27,282.04,5.23
Jaru,100,BR,1584203892,85,-10.44,-62.47,302.34,1.78
Riberalta,75,BO,1584203892,79,-10.98,-66.1,303.15,1.07
Marawi,2,PH,1584203892,86,8,124.29,297.59,1.34
Paracuru,75,BR,1584203892,74,-3.41,-39.03,302.15,5.7
Yenagoa,17,NG,1584203893,54,4.92,6.26,303.84,2.52
Nobres,70,BR,1584203893,69,-14.72,-56.33,303.34,1.54
Beroroha,9,MG,1584203893,62,-21.67,45.17,298.54,4.03
Umluj,0,SA,1584203893,44,25.02,37.27,292.54,2.5
Jérémie,23,HT,1584203893,62,18.65,-74.12,298.54,2.93
Bogotol,57,RU,1584203893,84,56.21,89.53,269.94,3.59
Salem,64,IN,1584203893,67,11.65,78.17,298.54,2.53
Nucet,100,RO,1584203893,53,44.78,25.55,284.26,2.6
Tshikapa,82,CD,1584203894,91,-6.42,20.8,296.04,0.87
São Félix do Xingu,100,BR,1584203894,84,-6.64,-51.99,301.24,1.07
San Quintín,5,MX,1584203669,69,30.48,-115.95,289.84,4.27
Waddān,33,LY,1584203894,19,29.16,16.14,294.64,1.39
Tongliao,0,CN,1584203894,53,43.61,122.27,269.24,5.3
Caucayá,100,CO,1584203894,98,-0.19,-74.78,296.14,2.74
Paphos,20,CY,1584203894,77,34.77,32.42,291.15,3.1
Bahía Blanca,18,AR,1584203894,20,-38.72,-62.27,297.94,4.66
Mayo,1,US,1584203895,32,38.89,-76.51,286.48,3.1
Havelock,1,US,1584203895,36,34.88,-76.9,292.59,7.2
Russell,1,US,1584203895,65,32.35,-85.2,300.37,1.5
Valdivia,40,CL,1584203895,52,-39.81,-73.25,291.15,4.6
Yar-Sale,100,RU,1584203895,91,66.83,70.83,259.84,8.28
Ossora,62,RU,1584203895,74,59.24,163.07,265.04,2.66
Viedma,0,AR,1584203739,33,-40.81,-63,294.24,7.32
Puerto Escondido,5,MX,1584203661,69,15.85,-97.07,301.15,3.1
Dingle,68,PH,1584203896,82,11,122.67,295.84,2.35
Portland,90,US,1584203882,86,45.52,-122.68,275.37,4.1
Dossor,100,KZ,1584203896,46,47.53,52.98,287.74,5.42
Baculin,11,PH,1584203896,86,7.45,126.58,293.24,2.5
Dāmghān,100,IR,1584203896,28,36.17,54.35,289.44,4.05
Shitanjing,0,CN,1584203896,10,39.23,106.34,277.04,1.79
Talnakh,75,RU,1584203896,95,69.49,88.4,273.15,12
Atlantic City,1,US,1584203765,37,39.36,-74.42,285.37,4.1
Mahon,0,ES,1584203897,62,39.89,4.27,288.15,4.6
Bonthe,4,SL,1584203897,69,7.53,-12.51,302.14,5.71
Cabra,20,ES,1584203897,60,37.47,-4.44,297.15,3.1
Anagé,84,BR,1584203897,80,-14.61,-41.14,299.04,3
Tambacounda,0,SN,1584203897,6,13.75,-13.76,313.15,4.1
Riyadh,60,SA,1584203696,29,24.69,46.72,298.15,3.6
Haines Junction,22,CA,1584203897,68,60.75,-137.51,264.14,1.2
Plouzané,90,FR,1584203897,81,48.38,-4.62,284.15,6.7
Libertador General San Martín,84,AR,1584203898,31,-23.81,-64.79,306.84,3.27
Anshun,74,CN,1584203898,71,26.25,105.93,284.24,1.08
Embonas,24,GR,1584203898,77,36.23,27.86,291.15,3.1
Yerbogachën,100,RU,1584203898,92,61.28,108.01,272.24,4.76
Payakumbuh,69,ID,1584203898,97,-0.22,100.63,293.14,0.36
Salym,100,RU,1584203898,95,60.06,71.48,274.44,5.35
Tiznit Province,82,MA,1584203898,70,29.58,-9.5,288.14,2.66
College,1,US,1584203898,91,64.86,-147.8,262.04,3.1
Meleuz,100,RU,1584203899,98,52.97,55.92,274.44,3.44
Jieshi,60,CN,1584203899,77,22.81,115.83,293.15,2.49
Kavaratti,18,IN,1584203899,71,10.57,72.64,301.14,4.29
Kailua,90,US,1584203899,78,21.4,-157.74,296.15,1.5
Barra de Tecoanapa,0,MX,1584203899,30,16.52,-98.75,309.84,3.36
Spornoye,75,RU,1584203765,60,50.84,37.29,279.15,4
Nicoya,63,CR,1584203899,41,10.15,-85.45,306.15,12.3
Birobidzhan,6,RU,1584203899,88,48.8,132.95,260.04,1.07
Plymouth,1,US,1584203777,39,41.83,-70.83,284.26,7.7
Socorro,1,US,1584203901,41,31.65,-106.3,289.26,2.1
Nome,100,US,1584203901,98,64.5,-165.41,273.54,0.32
Boende,33,CD,1584203901,62,-0.22,20.87,299.74,0.3
Vitim,100,RU,1584203901,94,59.45,112.56,265.04,4.78
Bandar,0,ID,1584203901,96,2.05,99.75,296.74,0.87
Kidal,0,ML,1584203901,9,18.44,1.41,301.94,3.04
Birin,94,NP,1584203902,80,26.89,88.07,282.44,2.03
Bereket,100,TM,1584203902,33,39.24,55.52,292.04,3.27
Almaznyy,9,RU,1584203902,52,48.04,40.05,281.15,2
Siilinjärvi,12,FI,1584203902,45,63.08,27.67,268.15,7.2
Aransas Pass,90,US,1584203902,88,27.91,-97.15,298.15,7.7
Wattegama,40,LK,1584203902,88,6.8,81.48,300.15,2.1
The Pas,1,CA,1584203902,76,53.83,-101.25,249.15,2.6
Nanortalik,68,GL,1584203902,66,60.14,-45.24,268.04,6.1
Sonoita,0,MX,1584203903,70,31.85,-112.83,288.71,5.98
Owo,0,NG,1584203903,37,7.2,5.59,304.04,0.55
Cairns,54,AU,1584203903,83,-16.92,145.77,296.15,2.8
Faanui,11,PF,1584203713,78,-16.48,-151.75,301.34,7.36
Karratha,54,AU,1584203903,79,-20.74,116.85,301.54,6.33
Juneau,20,US,1584203903,92,58.3,-134.42,269.82,1.71
Zhangaözen,100,KZ,1584203903,29,43.3,52.8,290.44,10.18
Saint-François,75,FR,1584203903,50,46.42,3.91,285.37,3.1
Sungai Raya,92,ID,1584203903,96,0.7,108.9,297.14,1.07
Asău,100,RO,1584203904,89,46.43,26.4,284.26,4.6
Mount Isa,51,AU,1584203620,46,-20.73,139.5,296.15,3.6
Cherskiy,28,RU,1584203904,77,68.75,161.3,247.94,2.69
Maniitsoq,86,GL,1584203904,84,65.42,-52.9,258.34,7.18
São Gabriel da Cachoeira,40,BR,1584203904,89,-0.13,-67.09,303.15,1.5
Malakal,82,SS,1584203904,18,9.53,31.66,305.44,3.11
Kang,94,BW,1584203904,41,-23.68,22.79,299.64,1.88
Nizhnyaya Krynka,2,UA,1584203904,46,48.11,38.16,281.84,4.81
Slovenska Bistrica,100,SI,1584203905,85,46.39,15.57,284.15,1.5
San Miguel de Cozumel,75,MX,1584203905,54,20.51,-86.95,302.15,5.1
Senador José Porfírio,100,BR,1584203905,90,-2.59,-51.95,300.74,2.58
Adré,30,TD,1584203905,16,13.47,22.2,294.54,1.34
Tanout,99,NE,1584203905,11,14.97,8.89,297.64,4.43
Road Town,20,VG,1584203905,74,18.42,-64.62,301.15,2.6
Hamilton,90,US,1584203905,60,39.18,-84.53,280.37,3.1
Kruisfontein,17,ZA,1584203906,89,-34,24.73,290.94,4.31
Lensk,100,RU,1584203906,92,60.73,114.93,264.64,5.73
Nevel'sk,40,RU,1584203906,92,46.67,141.86,262.15,3
Praia da Vitória,20,PT,1584203906,68,38.73,-27.07,291.15,3.74
Stornoway,100,GB,1584203860,87,58.21,-6.39,280.15,9.8
Cururupu,90,BR,1584203906,55,-1.83,-44.87,305.14,3.03
Negombo,28,LK,1584203907,79,7.21,79.84,302.15,1.5
Saravena,94,CO,1584203907,37,6.95,-71.88,307.14,0.7
Kaeo,2,NZ,1584203907,93,-35.1,173.78,286.48,0.89
Misratah,27,LY,1584203907,58,32.38,15.09,292.44,2.49
Grand Gaube,40,MU,1584203907,83,-20.01,57.66,299.15,1.5
Batticaloa,3,LK,1584203907,90,7.71,81.69,295.24,0.63
Chipinge,24,ZW,1584203907,61,-20.19,32.62,294.84,3.22
Lerwick,100,GB,1584203907,87,60.15,-1.15,280.15,9.8
Artyom,97,AZ,1584203908,66,40.47,50.33,285.15,3.1
Corato,20,IT,1584203908,77,41.15,16.41,289.26,1.5
Kerema,95,PG,1584203908,91,-7.96,145.78,296.44,0.96
Elk City,90,US,1584203908,93,35.41,-99.4,282.15,4.6
Lucapa,60,AO,1584203908,91,-8.42,20.74,293.44,1.02
Pascagoula,75,US,1584203908,83,30.37,-88.56,298.71,3.1
Roald,40,NO,1584203908,60,62.58,6.13,277.15,8.7
Saint George,90,US,1584203787,62,37.1,-113.58,286.15,3.6
Raja,13,SS,1584203908,19,8.46,25.68,300.64,1.87
Touros,75,BR,1584203909,70,-5.2,-35.46,302.15,5.7
Foumban,0,CM,1584203909,21,5.73,10.9,300.54,1.79
Hūn,33,LY,1584203909,19,29.13,15.95,294.64,1.39
Phang Nga,20,TH,1584203909,78,8.45,98.53,300.15,0.5
Lakselv,75,NO,1584203909,61,70.05,24.97,266.15,10.8
Okato,0,NZ,1584203909,77,-39.2,173.88,283.71,2.24
Kushiro,99,JP,1584203909,75,42.98,144.37,272.14,2.93
Dubbo,5,AU,1584203909,76,-32.25,148.62,287.15,7.2
Simpang,19,ID,1584203910,97,-1.27,104.08,296.84,0.77
Lethem,100,GY,1584203910,31,3.38,-59.8,310.64,3.14
Mbandaka,20,CD,1584203910,64,0.05,18.26,299.84,0.79
Seydişehir,61,TR,1584203910,70,37.42,31.85,282.34,0.48
Flinders,40,AU,1584203910,58,-34.58,150.86,289.82,4.6
Tevaitoa,2,PF,1584203910,78,-16.78,-151.5,301.24,6.58
Winneba,90,GH,1584203910,70,5.35,-0.62,303.15,4.6
Wisconsin Rapids,1,US,1584203836,58,44.38,-89.82,273.15,2.1
Chillicothe,90,US,1584203911,41,39.33,-82.98,281.15,2.1
Alice Springs,0,AU,1584203858,38,-23.7,133.88,298.15,3.6
Parrita,20,CR,1584203911,53,9.52,-84.32,301.15,9.3
Nova Zagora,75,BG,1584203911,54,42.48,26.02,285.15,5.1
Karlskoga,13,SE,1584203911,32,59.33,14.52,276.15,5.1
Villa Vicente Guerrero,5,MX,1584203911,40,19.12,-98.17,294.15,1.5
The Valley,40,AI,1584203645,78,18.22,-63.06,298.15,4.6
Pacific Grove,90,US,1584203911,81,36.62,-121.92,286.48,7.5
Lappeenranta,66,FI,1584203911,38,61.06,28.19,270.37,5.1
Camargo,100,MX,1584203912,25,27.67,-105.17,297.84,2.61
Anadyr,24,RU,1584203912,67,64.75,177.48,268.15,6
Barra Bonita,40,BR,1584203912,55,-22.49,-48.56,305.15,2.6
Ferkessédougou,0,CI,1584203912,17,9.6,-5.2,309.94,1.57
Yangi Marg`ilon,0,UZ,1584203912,32,40.43,71.72,286.15,3.1
Malé,20,MV,1584203681,79,4.17,73.51,302.15,3.6
Panzhihua,57,CN,1584203912,48,26.59,101.71,285.94,0.75
San Fernando del Valle de Catamarca,68,AR,1584203913,58,-28.47,-65.79,294.44,4.05
Kiunga,100,PG,1584203913,99,-6.12,141.29,296.04,0.46
Umm Bāb,96,QA,1584203913,43,25.21,50.81,298.15,0.45
Edd,66,ER,1584203913,74,13.93,41.69,298.94,5.33
Province of Mantua,75,IT,1584203913,57,45.17,10.78,285.37,3.1
Usinsk,100,RU,1584203913,89,65.99,57.53,260.84,6.31
Elko,40,US,1584203913,43,41,-115.5,283.71,7.7
Cayenne,75,GF,1584203913,58,4.93,-52.33,304.15,5.1
La Reforma,0,MX,1584203913,47,18.1,-91.02,304.34,3.93
Mackay,56,AU,1584203658,82,-21.15,149.2,299.26,2.6
Maragogi,94,BR,1584203789,66,-9.01,-35.22,301.84,4.22
Abu Samrah,15,SY,1584203914,76,35.3,37.18,286.34,1.89
Morant Bay,20,JM,1584203914,58,17.88,-76.41,304.15,3.6
Valley City,40,US,1584203702,85,46.92,-98,265.15,5.7
Puerto Madryn,0,AR,1584203914,21,-42.77,-65.04,296.04,6.62
Forssa,4,FI,1584203915,39,60.81,23.62,273.15,4.1
Hervey Bay,27,AU,1584203915,82,-25.3,152.85,293.71,4.1
Can Tho,88,VN,1584203914,94,10.03,105.78,298.15,3.1
Yuzhnyy,100,RU,1584203915,55,53.25,83.69,275.15,7
Wonthaggi,93,AU,1584203915,92,-38.6,145.59,287.04,0.45
Nassau,1,US,1584203743,29,40.75,-73.58,284.82,3.6
Rio Pardo de Minas,81,BR,1584203915,67,-15.61,-42.54,298.74,3.41
Palanga,20,LT,1584203915,50,55.92,21.07,274.15,3.6
Prado,19,BR,1584203916,76,-17.34,-39.22,300.24,4.56
Altamira,75,BR,1584203916,83,-3.2,-52.21,302.15,3.1
Melilla,20,ES,1584203916,72,35.29,-2.94,292.15,2.6
Port-Cartier,75,CA,1584203916,74,50.03,-66.87,272.04,6.2
Muzhi,99,RU,1584203916,96,65.37,64.67,260.94,1.94
Banyo,0,CM,1584203916,17,6.75,11.82,299.84,1.52
Villarrica,22,PY,1584203916,22,-25.75,-56.43,313.14,1.88
Salinópolis,100,BR,1584203884,84,-0.61,-47.36,300.04,5.79
Vardø,100,NO,1584203917,78,70.37,31.11,266.24,6.64
Sioux Lookout,75,CA,1584203917,55,50.1,-91.92,261.15,2.6
Swift Current,90,CA,1584203917,72,50.28,-107.8,261.15,12.9
Malindi,40,KE,1584203917,79,-3.22,40.12,304.15,5.1
Northam,75,GB,1584203917,87,51.03,-4.22,284.82,6.7
Bodden Town,19,KY,1584203917,80,19.28,-81.25,302.04,7.6
Bom Jesus,96,BR,1584203917,62,-9.07,-44.36,303.04,3.29
Eidfjord,83,NO,1584203917,77,60.47,7.07,261.34,3.35
Rosetown,100,CA,1584203917,69,51.55,-108,260.93,7.6
Giohar,42,SO,1584203918,75,2.78,45.5,299.94,7.75
Jay,1,US,1584203918,41,44.5,-70.22,281.48,10.8
Forsytheganj,65,BY,1584203918,55,52.63,29.73,272.34,6.61
Halifax,75,CA,1584203620,56,44.65,-63.57,281.48,8.2
Cotonou,20,BJ,1584203918,74,6.37,2.42,304.15,4.6
Tiarei,20,PF,1584203918,83,-17.53,-149.33,299.15,1.5
Kindu,100,CD,1584203918,79,-2.95,25.95,297.34,0.63
Capinópolis,6,BR,1584203918,68,-18.68,-49.57,302.34,3.03
Stryn,75,NO,1584203919,59,61.9,6.72,276.48,18
